Account,Token Account,Quantity,Percentage
3CZBRup85uD7yyUYWQdy1hXJs5CBant9yFQnQhq7XMdE,4HCbc1wBZewf2rWBBVu6zbDFX4bodT7MF8pXLL4pYgRw,584678.31,0.06
6XRUSpewZGiqprWehq4f4pkSE3H9hjHhkenGKiDMdg7b,B5imSSUNYbbkHKitF2EZ6wb17k2mW5joH1NgEtuQTYV4,570895.47,0.06
7oST7pqYvxnvQwcFsdMcX2A4onYwdbu8yo4EFUVmi99,4Kw6mh1h65GeA1mxZKExxB9G4noMdTmdtyCJt4SjZnm1,559432.47,0.06
3PNGhASSYBEWzHsRKwZcJHSgPELe7gv97fWtk3pd9Fzv,89B64huQxn43Me2GzKXoeUsLnTS66MGLRiBGnA3VR41V,554303.75,0.06
ELWPwWWF8XjqyQzophhiNmwbMmWtDtugGyejRSWJASLT,FS1pYm8XVycFtN9oi7MWXtKWya6nTKoqXNUNNN8MXBAR,541859.97,0.05
2MPjKHPzP78GuQrVKSJB8EpjHizP6UvqAEEeFbbK8Ax8,66deA3BW7HTWusE8WAmt4koFGcn1DXLKhQCEEeYRgE7i,529540.25,0.05
8D8eeCjRScRJAB2cPcV71DfzjERUVkipQ1MgJULEywVA,8Bj4TgXhtk5vjvPgqjmHdDK6GhwownZ4STR7GmG51L9C,522138.43,0.05
EHySvFkMs1cPAEKxrFmAcztpJGaAeiAhW6NDZejFwaL4,7c2YSscsM88hz6SHvnxEEmTJb2SSRmiS57rdKQgQGWjs,512277.42,0.05
9iJ45DreNTDtru3uaBXFdyguSZ4vPCQQLXBaCWPAT9Be,6RN79AMng5CD4qM8fqpC1kEC2uMK4qHTeSE2RSKpQjxm,508283.72,0.05
79sJTHaAiw3SpFnmxV4dzLecyy3aZosmjNQZ97DWmrnS,Fp7b7bNe3NgDUsQvCjjCwVqfPkWBBaEjZE6UL9bZ8Pbf,500000.00,0.05
BPyBPDZzXs6dJnkhB7TSLbJbwE1KefipiJMEpWR6ufwZ,5TPyMTXhcyQdaFsFT11n2WWHwCQPYvm1n5FvaTxZqpHN,496861.87,0.05
F6ND7AAx4snsfZ6yBr9B9M1NE7pTTBf9A538shxSEf5n,EmbmCBhx72sLKox4i1YazokFEBagLM5THNw4QtxXixdC,488250.86,0.05
ASySQaxiGpWbqMMzWiiQSPtopeWURomqf7xcp2b1efDU,B3UebKFLTkEqxUinB1pyQ7bWVRKnv2cXN6ZQyf3qwnaj,481006.79,0.05
2Ct4aUDSBYQYbyigzAbxahu1uxLwPBKqXkoMzzZxCiR5,4gXK3DFrVxcfFcoG36pg73aBRLP1JSy1VcawYF9sSacM,475029.33,0.05
T5FGU3xTNb6HkkFM2xJYQt5wbVmiEc9aJo3Wx1gsAtF,HWCw4bprc2LNHe8VSC7QuMgu8CJ8fysUt4oyQs2qBSZE,474482.17,0.05
Fs8twZyj5DJ7wn8sNXJUuSw8veieyax6ma7X6P8WyYYb,GofGJLFz8Lpc6nT4TuGsUmCSfDuzQnMiwqXmFsvNZbpS,473675.59,0.05
GX9ERmiYJDYgDoNJFufjParvfuxpab2wdbcskCyTRneN,8sRcosuW7q8faNwMyZzu9JHndZ7pR5oExpZHGBL18Noy,463332.59,0.05
J2URP14qya68fLa6mqjxbqaX7igH3MuD1s2GJwj5mDXP,BowigSBnSdjLZWWiPyVJxnC7MKgNL8dTbsuhJXuKRzBg,460093.11,0.05
HNASTJFPCvDgZTDB3PYUsp2ZVCmUJ2AG3jzdG5PMvmVu,8XJqnUPfQRk6jKm7WVwBwnVWevrPZbtfk3knKbJUjmy3,451914.61,0.05
2h8mTXHU4caeJEw6eq6SyAS9uVF4FEcF52K28AJQ27Hj,HWRzdHAUJBjb8LNWNfWXq5HF27rrVTpnk9Y4S31pYMyK,444770.56,0.04
9r9T4GskNv9X8LhUGep9rqxNz9L7ttYHS3QYmxPhyZd8,FQzpvkZfwEuwi7U6xPTpJrUm9APoGFrJLFnLYGbn8muD,441565.29,0.04
7KxkX4kWXqyS7MMfnbQpAVggqpEM5YTCMCto7NFumPJg,AsigsTKhQWLG2bMeLRjuFHLTBgdKDFeGpAnnmmQc5RsB,435236.32,0.04
Gx3J4EyTmEmqynyyRa8bzFXxYSDSb4RD5WAEgNN98ZCQ,7Bm7hP6PnuKz86xM6eJiYMC1aCU3VpqfZb4KmintkmTy,429066.12,0.04
6w9QN7fr8LgKCefgLcRN7o3b6ii2huV7gXmWh4nrS93y,14LbAAr9deT1Grt7VsvyxZx5JWzFayjhb5B6jp5nGH5S,426385.07,0.04
61UCPTTL3obrJx8j2swoKXsENSDqWYopSoUVm7fu9sMT,DREcQYq1rHQ7DT6auP7wEf18BqiYvamyugLFDf6Wa3gQ,425594.18,0.04
EsNbzmiFWcitG6P1KWX9Q9Eoc8wcYV8o3pcrHa3AMkgy,HkfHTbE4w9ZouPMtaUyVbLtyWFTzWFT4arNFq1wWCMBc,423844.27,0.04
453LhKey5At76GSQEF92kGQGHrhJCmLs4HBgh6uV4M3r,FCDGr7jQTBWrL6s5EyGagxXrNZ7jevCbvwRxeMh8AxBm,421679.24,0.04
2ajCymqMvtLvZGv64zSQ5dTZaG5Ugjyo7iJQf9tvrw9U,B61Ly97zMjewz7j1JXyTkMuhoTAedrNTqUVTJNK6nmyf,397081.63,0.04
6WKPhJYQqY6D8GpNzFxhVoWmrMTnvVGC1bGVZfm8SD7U,6ghUuJWQgMAn12LYVeXkRf6gMtu4hUddGMiS2cUp8cW6,382447.96,0.04
