Account,Token Account,Quantity,AIRDROP
D28UF4D2G4iUGex2hehMWaDX1NMRtzd8gS7gcq5toy8M,7f4WE2ze9cc8tS2sUifuvH7E5HMXoKxe1J8E79pSuTUt,378179.46,3781794.6
A7vZwZTGPQtx1fcnPBo6FKwQEwL7ZRF1UzKZgEvePz6U,58scoPAmyeaVQmiYLAzLuUbh8Bx1LM6ZMUZNcSGJCaju,365971.88,3659718.8
3nQx2xYcVpj2eoG5dfvDukZxCLJDgaguWtNjpNemd3AZ,Aoi5JcmRd2WPvMy3uG6W9BZDdCT2fA5GSVU8t3ZuPFMa,361232.15,3612321.5
GhdGP1xgyhnqT2r8QLZUjnEJitPQVi3k5T5ndL4Yf5LT,9rFpzrvesRsZFmCHepwEz9Pb7gPPQ3WppstrJ889U2cS,350211.71,3502117.1
CnqVe8KVoF6KEoXYq99RpouNg2tmBopcRwKeMbLxGXLn,71yHAVXFDUxkNqWfnFFu26epFrAFuFtdrFvYES3nKf6,344857.31,3448573.1
EBCsiUB3e5ggMfTqj9QnJTU78RCnjGCziNC23sKUr8Gf,AZi2MaoeovKAp1VfHz2gSV8m61Zhsvx5J4JJgHfHbhVQ,343527.77,3435277.7
DfEhimqMWAsWvqVPE11gBoVpNkUAh9URsEqczX2S1qKR,HtNC6AjXVe3zbBssfdoiJyREJe5a5Xte3pPXuMhyq5fj,304477.87,3044778.7
BehRzwLvxjPCnkHUriiJ32Uv73GAgRo4sX8Ek847fQC2,4rMz8Pi8pSJDWHX8QY9sFVQBHRsBkxLwqhAoiPkM8gEP,299339.16,2993391.6
8bBU6SiD1g8ANghuAYh6tPr8gCfJrtmEUF3CUGmxz3qu,5E7bW8wY4KMj95qGVKuE3gLHr6JNDYAPFBd1nHULq6ie,294147.09,2941470.9
Af4xW7fyApvwFJYwEXAYH53jyfb2nKjQmZfzJE8sKqTX,Dpw46SzkmNPTYeu9wEMbixVaHKrAWFPTaYM8c1ijM2MW,291092.93,2910929.3
78WhALz6qmQXzYCbGtZoPSZDEfhsQAciidRdndp9MHQ7,6QccsiYSE6CnzfrSY6XczViYXzTB2P3bD7BCd7bUUh9J,285255.47,2852554.7
